sample_label,thickness_mm,width_mm,burn_length_mm,replicate,burn_time_min,ignition_temperature_c,burn_time_unit,burn_length_unit,thickness_unit,width_unit,dataset,test_type,environment,source_file,source_path
Original 0 %,5.4,11.0,75.0,1,4.530166666666666,,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
Original 0 %,4.7,11.6,75.0,1,4.255833333333333,,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
Original 0 %,5.62,13.4,75.0,1,4.4395,877.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
V1,,17.258332458008155,,1,0.5155347417066058,,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
V2,17.62287056980615,,,1,,,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
V3,16.893794346210157,,,1,,,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
0.03,4.5,11.08,75.0,2,4.6321666666666665,781.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
0.03,4.72,11.4,75.0,2,4.294833333333333,793.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
0.03,5.7,12.8,75.0,2,4.323333333333333,768.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
17.258332458008155,0.5155347417066058,,,2,,,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
16.769426391346023,0.8178384714616062,,,2,,,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
17.129470347100046,0.8707438474525164,,,2,,,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
16.077691100328682,0.3439567719535859,,,2,,,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
0.06,4.5,11.4,75.0,3,4.541666666666667,714.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
0.06,4.3,11.4,75.0,3,3.921333333333333,712.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
0.06,5.14,13.0,75.0,3,4.2265,725.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
0.1,4.7,12.2,75.0,4,4.5953333333333335,681.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
0.1,5.0,11.8,75.0,4,4.7364999999999995,678.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
0.1,3.4,11.1,75.0,4,3.1816666666666666,671.0,minute,millimetre,millimetre,millimetre,polymer_composite_ignition,UL-94 style ignition and burning rate,"Horizontal burn, ambient pressure",PC-Ignicion.xlsx,datasets/raw/external_polymer_composites/PC-Ignicion.xlsx
